ITEM TYPE,RETAIL SALES
WINE,13.75
WINE,43.25
WINE,7.07
WINE,0.90
WINE,0.00
WINE,3.08
BEER,0.00
WINE,1.06
WINE,6.23
WINE,0.08
WINE,14.52
LIQUOR,22.21
WINE,1.81
LIQUOR,0.32
WINE,11.83
WINE,0.00
WINE,0.00
WINE,4.08
WINE,0.33
WINE,16.94
WINE,18.72
KEGS,0.00
CATENA CHARD - 750ML,WINE
BEER,0.00
BEER,0.00
BEER,0.00
BEER,0.00
CATENA CAB - 750ML,WINE
BEER,0.00
LIQUOR,2.72
LIQUOR,62.03
BEER,0.00
BEER,0.50
BEER,0.00
BEER,0.00
BEER,0.00
LIQUOR,32.56
KEGS,0.00
BEER,0.00
LIQUOR,0.51
BEER,0.00
BEER,0.50
WINE,1.90
BEER,0.00
WINE,0.56
BEER,0.00
BEER,1.75
BEER,7.50
LIQUOR,14.52
BEER,6.40
BEER,0.73
BEER,0.25
BEER,6.50
BEER,0.00
WINE,0.32
BEER,0.16
BEER,0.75
BEER,0.00
LIQUOR,1.51
WINE,2.28
BEER,31.00
WINE,0.16
BEER,0.00
KEGS,0.00
KEGS,0.00
WINE,13.68
WINE,2.38
BEER,0.00
KEGS,0.00
WINE,3.36
BEER,0.00
WINE,2.03
BEER,6.94
WINE,2.21
WINE,13.16
BEER,2.00
BEER,0.00
BEER,4.25
BEER,0.00
BEER,0.00
BEER,0.00
LIQUOR,5.09
BEER,0.00
WINE,0.08
BEER,2.00
LIQUOR,4.92
BEER,0.50
LIQUOR,24.06
BEER,9.00
BEER,16.25
BEER,76.00
BEER,1.00
BEER,1.25
BEER,10.00
BEER,0.00
BEER,0.80
BEER,3.75
BEER,0.25
BEER,1.50
KEGS,0.00
LIQUOR,0.73
KEGS,0.00
BEER,0.50
BEER,0.00
BEER,0.00
BEER,2.75
BEER,3.00
BEER,20.78
BEER,4.75
KEGS,0.00
BEER,6.65
BEER,92.75
BEER,21.58
BEER,2.50
BEER,28.25
KEGS,0.00
BEER,94.57
BEER,3.00
BEER,0.00
BEER,0.00
KEGS,0.00
WINE,0.08
BEER,1.42
KEGS,0.00
BEER,3.54
KEGS,0.00
BEER,3.00
BEER,3.50
LIQUOR,15.51
BEER,0.00
WINE,0.00
WINE,0.08
WINE,0.24
WINE,0.00
WINE,0.00
WINE,0.00
WINE,1.24
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
BEER,206.04
WINE,0.00
WINE,0.00
WINE,1.62
WINE,2.32
WINE,0.00
WINE,0.00
WINE,1.50
WINE,0.50
BEER,1.16
WINE,0.00
WINE,5.94
WINE,0.00
WINE,0.00
WINE,0.00
BEER,0.00
WINE,0.00
WINE,4.59
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,2.04
LIQUOR,17.28
WINE,0.00
WINE,0.58
BEER,0.33
WINE,0.00
WINE,0.00
WINE,0.75
LIQUOR,4.53
WINE,8.60
WINE,0.00
WINE,0.16
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
BEER,0.50
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.08
WINE,0.00
BEER,0.00
BEER,0.00
WINE,0.00
BEER,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.16
KEGS,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.08
WINE,0.00
WINE,0.00
LIQUOR,0.00
WINE,0.00
WINE,0.24
WINE,0.08
WINE,2.26
WINE,0.00
WINE,0.00
LIQUOR,0.00
WINE,0.00
WINE,0.00
WINE,0.32
BEER,2.50
WINE,0.40
WINE,4.73
WINE,3.98
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
LIQUOR,0.00
WINE,0.00
WINE,0.33
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.08
WINE,0.25
WINE,0.57
BEER,0.00
WINE,1.06
WINE,0.00
BEER,23.00
WINE,0.00
WINE,0.00
WINE,0.00
BEER,2.00
WINE,0.00
BEER,0.00
WINE,0.00
BEER,0.00
WINE,0.00
BEER,39.75
WINE,0.00
WINE,0.00
WINE,0.00
WINE,5.92
WINE,0.00
WINE,0.00
BEER,0.00
BEER,0.00
LIQUOR,0.17
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.16
WINE,0.58
BEER,0.00
BEER,12.00
LIQUOR,0.00
BEER,2.00
WINE,0.00
WINE,0.00
WINE,0.17
WINE,0.00
KEGS,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
BEER,27.50
WINE,0.00
WINE,0.84
WINE,0.00
WINE,0.24
LIQUOR,0.33
WINE,0.00
WINE,0.17
WINE,0.00
WINE,0.00
BEER,1.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,11.75
WINE,4.59
WINE,0.00
WINE,0.00
WINE,0.16
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
BEER,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
BEER,16.79
WINE,0.00
WINE,0.17
WINE,0.08
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
BEER,76.00
BEER,31.50
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
BEER,679.00
LIQUOR,0.51
WINE,0.00
BEER,105.00
WINE,0.00
WINE,0.00
BEER,12.50
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
WINE,0.00
